 ,100 ml
t(s),V (V)
6.52E-01,5.60E-02
6.56E-01,4.80E-02
6.60E-01,1.04E-01
6.64E-01,1.12E-01
6.68E-01,7.20E-02
6.72E-01,7.20E-02
6.76E-01,-2.40E-02
6.80E-01,-2.40E-02
6.84E-01,-1.04E-01
6.88E-01,-1.04E-01
6.92E-01,-1.28E-01
6.96E-01,-1.12E-01
7.00E-01,-5.60E-02
7.04E-01,-5.60E-02
7.08E-01,3.20E-02
7.12E-01,1.60E-02
7.16E-01,7.99E-02
7.20E-01,7.20E-02
7.24E-01,1.04E-01
7.28E-01,9.60E-02
7.32E-01,3.20E-02
7.36E-01,3.20E-02
7.40E-01,-7.99E-02
7.44E-01,-6.40E-02
7.48E-01,-1.12E-01
7.52E-01,-1.12E-01
7.56E-01,-7.20E-02
7.60E-01,-7.99E-02
7.64E-01,-8.00E-03
7.68E-01,-8.00E-03
7.72E-01,4.80E-02
7.76E-01,4.00E-02
7.80E-01,8.79E-02
7.84E-01,1.04E-01
7.88E-01,4.00E-02
7.92E-01,7.20E-02
7.96E-01,-4.00E-02
8.00E-01,-2.40E-02
8.04E-01,-9.60E-02
8.08E-01,-7.99E-02
8.12E-01,-1.12E-01
8.16E-01,-9.60E-02
8.20E-01,-4.00E-02
8.24E-01,-5.60E-02
8.28E-01,2.40E-02
8.32E-01,1.60E-02
8.36E-01,7.20E-02
8.40E-01,6.40E-02
8.44E-01,9.60E-02
8.48E-01,7.99E-02
8.52E-01,1.60E-02
8.56E-01,1.60E-02
8.60E-01,-6.40E-02
8.64E-01,-6.40E-02
8.68E-01,-9.60E-02
8.72E-01,-9.60E-02
8.76E-01,-6.40E-02
8.80E-01,-6.40E-02
8.84E-01,0.00E+00
8.88E-01,-2.40E-02
8.92E-01,4.00E-02
8.96E-01,4.00E-02
9.00E-01,7.99E-02
9.04E-01,7.20E-02
9.08E-01,4.00E-02
9.12E-01,4.00E-02
9.16E-01,-2.40E-02
9.20E-01,-2.40E-02
9.24E-01,-7.99E-02
9.28E-01,-6.40E-02
9.32E-01,-9.60E-02
9.36E-01,-8.79E-02
9.40E-01,-3.20E-02
9.44E-01,-3.20E-02
9.48E-01,3.20E-02
9.52E-01,8.00E-03
9.56E-01,5.60E-02
9.60E-01,4.80E-02
9.64E-01,6.40E-02
9.68E-01,5.60E-02
9.72E-01,0.00E+00
9.76E-01,8.00E-03
9.80E-01,-5.60E-02
9.84E-01,-3.20E-02
9.88E-01,-8.79E-02
9.92E-01,-7.99E-02
9.96E-01,-4.00E-02
1.00E+00,-4.80E-02
1.00E+00,1.60E-02
1.01E+00,-8.00E-03
1.01E+00,3.20E-02
1.02E+00,2.40E-02
1.02E+00,6.40E-02
1.02E+00,4.80E-02
1.03E+00,2.40E-02
1.03E+00,3.20E-02
1.04E+00,-3.20E-02
1.04E+00,-2.40E-02
1.04E+00,-6.40E-02
1.05E+00,-7.20E-02
1.05E+00,-4.80E-02
1.06E+00,-5.60E-02
1.06E+00,-2.40E-02
